gene,ensembl_id,span_kb,whole_cell_CPM,nuclear_CPM,ratio,exonic_kb,intronic_kb,intron_fraction
Il17rc,ENSMUSG00000030281,11.715,3.4894,4.8924,1.4021,2.671,9.044,0.772
Jtb,ENSMUSG00000027937,11.716,69.7275,24.7276,0.3546,1.531,10.185,0.8693
Dr1,ENSMUSG00000029265,11.717,39.4205,15.1392,0.384,3.478,8.239,0.7032
Nyap1,ENSMUSG00000045348,11.718,64.969,64.2914,0.9896,5.244,6.474,0.5525
Adamtsl4,ENSMUSG00000015850,11.722,1.9781,7.1208,3.5998,4.198,7.524,0.6419
BC005624,ENSMUSG00000026851,11.726,69.5306,55.2687,0.7949,3.28,8.446,0.7203
Ddx39a,ENSMUSG00000005481,11.73,5.9045,2.1608,0.366,5.155,6.575,0.5605
H2-Ab1,ENSMUSG00000073421,11.73,4.6364,2.6617,0.5741,2.568,9.162,0.7811
Psma1,ENSMUSG00000030751,11.73,75.5434,77.308,1.0234,2.952,8.778,0.7483
Echs1,ENSMUSG00000025465,11.731,41.816,19.383,0.4635,8.286,3.445,0.2937
E230025N22Rik,ENSMUSG00000044719,11.731,0.7576,5.5717,7.3548,3.487,8.244,0.7028
Tfip11,ENSMUSG00000029345,11.733,18.3843,12.0994,0.6581,4.086,7.647,0.6518
Hsbp1,ENSMUSG00000031839,11.745,406.4374,76.7315,0.1888,1.861,9.884,0.8415
Txndc15,ENSMUSG00000021497,11.75,49.1898,25.7323,0.5231,4.386,7.364,0.6267
Dvl2,ENSMUSG00000020888,11.756,4.315,7.7572,1.7977,6.298,5.458,0.4643
Cope,ENSMUSG00000055681,11.757,98.6673,58.592,0.5938,3.353,8.404,0.7148
Spata2,ENSMUSG00000047030,11.758,23.0497,19.5473,0.8481,4.51,7.248,0.6164
Vamp5,ENSMUSG00000073002,11.759,9.9015,9.1323,0.9223,2.707,9.052,0.7698
Slc66a3,ENSMUSG00000045679,11.76,55.434,31.2381,0.5635,5.408,6.352,0.5401
Tmc4,ENSMUSG00000019734,11.763,2.3277,6.0888,2.6158,4.28,7.483,0.6361
Gtpbp3,ENSMUSG00000007610,11.763,7.4442,19.1954,2.5786,3.984,7.779,0.6613
Gcsh,ENSMUSG00000034424,11.771,71.3927,29.8226,0.4177,1.579,10.192,0.8659
4933434E20Rik,ENSMUSG00000027942,11.771,54.701,15.9357,0.2913,3.858,7.913,0.6722
Zscan25,ENSMUSG00000070420,11.778,0.4593,5.5322,12.0437,1.928,9.85,0.8363
Slitrk5,ENSMUSG00000033214,11.783,26.0228,20.9021,0.8032,5.263,6.52,0.5533
Nelfb,ENSMUSG00000013465,11.785,42.133,50.341,1.1948,3.432,8.353,0.7088
Snx33,ENSMUSG00000032733,11.785,0.9802,1.7301,1.765,4.571,7.214,0.6121
Ppic,ENSMUSG00000024538,11.788,0.861,2.6533,3.0815,1.403,10.385,0.881
Opn1sw,ENSMUSG00000058831,11.797,0.5712,0.8011,1.4024,2.557,9.24,0.7832
Maip1,ENSMUSG00000025971,11.802,15.5001,10.2276,0.6598,7.878,3.924,0.3325
Slc35f6,ENSMUSG00000029175,11.808,25.9307,12.4792,0.4813,8.495,3.313,0.2806
Rinl,ENSMUSG00000051735,11.811,3.0137,2.3357,0.775,3.624,8.187,0.6932
Tex52,ENSMUSG00000079304,11.811,0.1639,0.1569,0.957,1.875,9.936,0.8412
Prps1l3,ENSMUSG00000079104,11.813,3.7863,3.4068,0.8998,1.72,10.093,0.8544
Tnnt1,ENSMUSG00000064179,11.814,2.9308,0.5134,0.1752,2.185,9.629,0.815
Cstf1,ENSMUSG00000027498,11.82,10.8179,6.2583,0.5785,3.504,8.316,0.7036
Rnps1,ENSMUSG00000034681,11.821,124.4382,77.6805,0.6242,5.131,6.69,0.5659
Smim11,ENSMUSG00000051989,11.821,54.3,12.2965,0.2265,0.972,10.849,0.9178
Npdc1,ENSMUSG00000015094,11.822,339.2267,136.3963,0.4021,3.906,7.916,0.6696
Atg9a,ENSMUSG00000033124,11.824,1.7615,8.406,4.7721,5.762,6.062,0.5127
Pithd1,ENSMUSG00000028669,11.826,75.1361,24.2028,0.3221,2.477,9.349,0.7905
Usp19,ENSMUSG00000006676,11.826,65.6549,69.4713,1.0581,7.048,4.778,0.404
Slc26a6,ENSMUSG00000023259,11.829,3.068,2.569,0.8373,5.533,6.296,0.5323
Pgap3,ENSMUSG00000038208,11.832,7.4754,2.3882,0.3195,3.248,8.584,0.7255
Hpcal4,ENSMUSG00000046093,11.833,29.195,9.7995,0.3357,5.339,6.494,0.5488
Bcs1l,ENSMUSG00000026172,11.833,12.7294,23.851,1.8737,2.192,9.641,0.8148
Bccip,ENSMUSG00000030983,11.838,28.4305,11.3115,0.3979,2.038,9.8,0.8278
Lingo3,ENSMUSG00000051067,11.841,1.5138,0.3569,0.2358,3.559,8.282,0.6994
Gal3st3,ENSMUSG00000047658,11.845,0.7399,1.595,2.1558,2.421,9.424,0.7956
Tamalin,ENSMUSG00000000531,11.847,2.3335,3.4957,1.4981,2.033,9.814,0.8284
Spred3,ENSMUSG00000037239,11.852,10.0593,14.9031,1.4815,6.218,5.634,0.4754
Trmt6,ENSMUSG00000037376,11.854,21.017,26.2628,1.2496,5.384,6.47,0.5458
Adamts4,ENSMUSG00000006403,11.855,0.8046,0.5339,0.6636,4.81,7.045,0.5943
Dut,ENSMUSG00000027203,11.856,67.8372,20.2329,0.2983,2.41,9.446,0.7967
Tmem220,ENSMUSG00000050270,11.859,0.8474,2.627,3.1001,1.669,10.19,0.8593
Tmem91,ENSMUSG00000061702,11.859,12.8352,11.2225,0.8744,3.547,8.312,0.7009
Rps15a,ENSMUSG00000008683,11.859,727.3593,83.0151,0.1141,6.27,5.589,0.4713
Vmn1r85,ENSMUSG00000070817,11.86,15.1475,8.1627,0.5389,7.074,4.786,0.4035
Xlr3b,ENSMUSG00000073125,11.86,3.4438,1.7347,0.5037,3.78,8.08,0.6813
Cpsf1,ENSMUSG00000034022,11.862,9.2843,9.6624,1.0407,5.637,6.225,0.5248
Eef1a1,ENSMUSG00000037742,11.862,1689.3364,332.6828,0.1969,2.493,9.369,0.7898
Tcirg1,ENSMUSG00000001750,11.867,2.6496,5.6056,2.1156,4.603,7.264,0.6121
Selenbp1,ENSMUSG00000068874,11.869,0.3379,2.6231,7.7626,2.273,9.596,0.8085
Bag5,ENSMUSG00000049792,11.872,34.1831,17.7185,0.5183,2.508,9.364,0.7887
Necap2,ENSMUSG00000028923,11.874,10.1482,15.9052,1.5673,3.095,8.779,0.7393
Tmem222,ENSMUSG00000028857,11.877,47.2808,24.9112,0.5269,2.003,9.874,0.8314
Has1,ENSMUSG00000003665,11.882,0.1554,4.777,30.7487,4.518,7.364,0.6198
Dyrk3,ENSMUSG00000016526,11.884,1.3994,2.9399,2.1008,3.178,8.706,0.7326
Smarcd1,ENSMUSG00000023018,11.885,76.7695,40.7189,0.5304,4.026,7.859,0.6613
Tmem107,ENSMUSG00000020895,11.889,24.7861,10.2193,0.4123,1.369,10.52,0.8849
Bloc1s6,ENSMUSG00000005804,11.891,34.2923,13.4742,0.3929,3.899,7.992,0.6721
Cnot11,ENSMUSG00000003135,11.897,13.9985,11.6092,0.8293,3.508,8.389,0.7051
Usp1,ENSMUSG00000028560,11.902,10.8237,18.6683,1.7248,3.733,8.169,0.6864
Snx21,ENSMUSG00000050373,11.906,105.6779,73.9082,0.6994,4.76,7.146,0.6002
Zfp956,ENSMUSG00000045466,11.91,5.8912,9.0728,1.5401,2.968,8.942,0.7508
Chrnb1,ENSMUSG00000041189,11.913,0.426,2.7337,6.4179,2.531,9.382,0.7875
Zfp429,ENSMUSG00000078994,11.914,0.4289,1.2623,2.9431,2.324,9.59,0.8049
1700088E04Rik,ENSMUSG00000033029,11.919,4.3407,5.2399,1.2071,5.292,6.627,0.556
Bap1,ENSMUSG00000021901,11.921,57.3399,26.9418,0.4699,4.682,7.239,0.6072
Frg2f1,ENSMUSG00000087385,11.921,3.6207,6.4367,1.7778,2.76,9.161,0.7685
Mfsd2b,ENSMUSG00000037336,11.927,0.5225,1.8811,3.6002,5.148,6.779,0.5684
Tubb3,ENSMUSG00000062380,11.929,2121.2582,898.3532,0.4235,1.868,10.061,0.8434
Eny2,ENSMUSG00000022338,11.935,98.9436,44.0044,0.4447,5.763,6.172,0.5171
Taf6l,ENSMUSG00000003680,11.935,3.631,5.6987,1.5695,5.017,6.918,0.5796
Enc1,ENSMUSG00000041773,11.942,16.2271,9.7499,0.6008,4.737,7.205,0.6033
Hsh2d,ENSMUSG00000062007,11.942,0.1431,0.3131,2.1889,1.824,10.118,0.8473
Capns1,ENSMUSG00000001794,11.943,645.9723,329.7865,0.5105,2.477,9.466,0.7926
Pin4,ENSMUSG00000079480,11.943,73.8782,29.6454,0.4013,0.651,11.292,0.9455
Aarsd1,ENSMUSG00000075528,11.944,2.5077,9.2501,3.6887,3.052,8.892,0.7445
Fkbp8,ENSMUSG00000019428,11.945,260.3909,101.3288,0.3891,4.529,7.416,0.6208
Npm2,ENSMUSG00000047911,11.948,0.404,1.9504,4.8275,1.036,10.912,0.9133
Hscb,ENSMUSG00000043510,11.965,18.5384,14.652,0.7904,0.905,11.06,0.9244
Plppr2,ENSMUSG00000040563,11.968,39.2526,42.7365,1.0888,2.75,9.218,0.7702
Vars2,ENSMUSG00000038838,11.984,8.6832,12.7799,1.4718,5.46,6.524,0.5444
Twf1,ENSMUSG00000022451,11.988,45.1553,34.8367,0.7715,3.054,8.934,0.7452
Mad2l1,ENSMUSG00000029910,11.996,4.669,3.1008,0.6641,8.39,3.606,0.3006
Nifk,ENSMUSG00000026377,11.997,20.0134,11.2837,0.5638,1.965,10.032,0.8362
Fam210b,ENSMUSG00000027495,12.007,19.7655,7.1452,0.3615,3.617,8.39,0.6988
Fam72a,ENSMUSG00000055184,12.008,2.55,0.8849,0.347,2.191,9.817,0.8175
L3hypdh,ENSMUSG00000019718,12.012,1.6839,2.234,1.3267,2.679,9.333,0.777
Cartpt,ENSMUSG00000021647,12.016,543.9391,125.2228,0.2302,1.277,10.739,0.8937
Yae1d1,ENSMUSG00000075054,12.019,33.1576,23.6283,0.7126,11.223,0.796,0.0662
Bud23,ENSMUSG00000005378,12.022,10.7267,11.9751,1.1164,3.386,8.636,0.7183
Ttc9c,ENSMUSG00000071660,12.024,27.9938,23.8549,0.8521,3.984,8.04,0.6687
Gm6710,ENSMUSG00000078887,12.029,13.5059,4.0891,0.3028,3.44,8.589,0.714
6430571L13Rik,ENSMUSG00000037977,12.032,4.6896,5.0499,1.0768,2.912,9.12,0.758
Vps72,ENSMUSG00000008958,12.037,21.9694,27.158,1.2362,3.639,8.398,0.6977
Thoc3,ENSMUSG00000025872,12.037,23.9056,20.4322,0.8547,2.428,9.609,0.7983
Pak1ip1,ENSMUSG00000038683,12.038,42.1623,49.256,1.1682,4.045,7.993,0.664
Pcgf2,ENSMUSG00000018537,12.043,26.3809,25.0857,0.9509,3.526,8.517,0.7072
Serpina1e,ENSMUSG00000072849,12.047,0.455,0.776,1.7056,1.617,10.43,0.8658
Atxn2l,ENSMUSG00000032637,12.049,57.8867,62.6242,1.0818,4.782,7.267,0.6031
Pura,ENSMUSG00000043991,12.051,246.3891,327.7198,1.3301,5.957,6.094,0.5057
Arl14ep,ENSMUSG00000027122,12.06,20.6231,19.0113,0.9218,5.313,6.747,0.5595
Tmem161a,ENSMUSG00000002342,12.061,24.3365,18.7685,0.7712,3.673,8.388,0.6955
Mterf2,ENSMUSG00000049038,12.068,6.182,11.7055,1.8935,1.752,10.316,0.8548
S100b,ENSMUSG00000033208,12.069,395.6492,323.2604,0.817,1.484,10.585,0.877
Slc35c2,ENSMUSG00000017664,12.075,33.4763,22.2375,0.6643,3.914,8.161,0.6759
Pthlh,ENSMUSG00000048776,12.082,2.7322,1.6871,0.6175,1.619,10.463,0.866
Ykt6,ENSMUSG00000002741,12.087,57.4493,35.6199,0.62,2.984,9.103,0.7531
Rbm22,ENSMUSG00000024604,12.088,20.6796,17.9123,0.8662,5.338,6.75,0.5584
Poldip2,ENSMUSG00000001100,12.089,46.7143,23.6284,0.5058,3.783,8.306,0.6871
Setmar,ENSMUSG00000034639,12.09,3.0098,3.0544,1.0148,1.765,10.325,0.854
Tcam1,ENSMUSG00000020712,12.096,0.4276,0.6806,1.5916,3.752,8.344,0.6898
Cdpf1,ENSMUSG00000064284,12.101,38.5286,9.482,0.2461,1.215,10.886,0.8996
Mutyh,ENSMUSG00000028687,12.105,1.057,1.3914,1.3164,2.612,9.493,0.7842
Perp,ENSMUSG00000019851,12.106,12.6663,6.0493,0.4776,1.952,10.154,0.8388
Gli1,ENSMUSG00000025407,12.114,0.1166,7.0056,60.0978,4.995,7.119,0.5877
Leprot,ENSMUSG00000035212,12.115,32.2284,13.2705,0.4118,1.898,10.217,0.8433
Zfp3,ENSMUSG00000043602,12.115,3.6018,9.1947,2.5528,2.061,10.054,0.8299
Sgsh,ENSMUSG00000005043,12.123,8.1922,5.0714,0.619,4.414,7.709,0.6359
Btg2,ENSMUSG00000020423,12.125,82.7197,8.6312,0.1043,2.743,9.382,0.7738
Mycbp,ENSMUSG00000028647,12.126,40.8989,31.1149,0.7608,2.934,9.192,0.758
Usf2,ENSMUSG00000058239,12.127,102.8486,55.9506,0.544,2.651,9.476,0.7814
Man2c1,ENSMUSG00000032295,12.128,24.1558,26.5748,1.1001,7.052,5.076,0.4185
Ctsd,ENSMUSG00000007891,12.129,483.1775,145.9795,0.3021,2.351,9.778,0.8062
Clk2,ENSMUSG00000068917,12.13,8.1792,28.1262,3.4387,5.299,6.831,0.5631
Rfc5,ENSMUSG00000029363,12.132,3.7367,2.6951,0.7213,4.669,7.463,0.6152
Cebpzos,ENSMUSG00000062691,12.133,147.1646,21.9405,0.1491,1.897,10.236,0.8436
Aga,ENSMUSG00000031521,12.138,6.0201,6.7295,1.1178,2.321,9.817,0.8088
Capn12,ENSMUSG00000054083,12.141,0.681,1.8603,2.7318,4.77,7.371,0.6071
Flad1,ENSMUSG00000042642,12.143,10.4336,15.2367,1.4604,4.087,8.056,0.6634
Fam171a2,ENSMUSG00000034685,12.146,36.8728,28.8453,0.7823,3.119,9.027,0.7432
Map3k6,ENSMUSG00000028862,12.15,6.9464,2.491,0.3586,4.604,7.546,0.6211
Ube2l6,ENSMUSG00000027078,12.153,33.4941,9.5545,0.2853,1.996,10.157,0.8358
Trim46,ENSMUSG00000042766,12.155,38.2114,69.1309,1.8092,3.792,8.363,0.688
Prokr1,ENSMUSG00000049409,12.157,3.0543,5.4309,1.7781,4.23,7.927,0.6521
Psmd4,ENSMUSG00000005625,12.16,88.3112,108.0017,1.223,2.808,9.352,0.7691
Xaf1,ENSMUSG00000040483,12.162,23.2946,16.263,0.6981,4.689,7.473,0.6145
Eml3,ENSMUSG00000071647,12.163,7.7568,5.1672,0.6661,4.108,8.055,0.6623
Zfp212,ENSMUSG00000052763,12.167,9.0032,12.4336,1.381,3.002,9.165,0.7533
Htr3a,ENSMUSG00000032269,12.174,493.375,125.941,0.2553,2.083,10.091,0.8289
Slitrk3,ENSMUSG00000048304,12.176,21.8839,31.6482,1.4462,4.848,7.328,0.6018
Nenf,ENSMUSG00000037499,12.177,491.3522,83.6126,0.1702,0.742,11.435,0.9391
Tmem132a,ENSMUSG00000024736,12.182,23.2107,41.5383,1.7896,4.548,7.634,0.6267
Rbm15,ENSMUSG00000048109,12.185,14.8727,12.7921,0.8601,7.423,4.762,0.3908
Chchd7,ENSMUSG00000042198,12.189,153.0689,29.1388,0.1904,4.06,8.129,0.6669
Atg12,ENSMUSG00000032905,12.192,72.8906,53.723,0.737,7.711,4.481,0.3675
Pdcd2l,ENSMUSG00000002635,12.193,11.8359,11.8922,1.0048,1.549,10.644,0.873
Eif3d,ENSMUSG00000016554,12.195,44.2367,31.9918,0.7232,4.968,7.227,0.5926
Otop3,ENSMUSG00000018862,12.196,1.4922,0.7665,0.5137,2.426,9.77,0.8011
Rexo2,ENSMUSG00000032026,12.198,280.704,109.5677,0.3903,3.385,8.813,0.7225
Zpld2,ENSMUSG00000073747,12.2,0.1792,0.1793,1.0005,2.338,9.862,0.8084
U2af1,ENSMUSG00000061613,12.2,87.0235,53.3625,0.6132,2.598,9.602,0.787
Ctxn2,ENSMUSG00000074872,12.202,23.5498,5.3083,0.2254,1.089,11.113,0.9108
Lgals3bp,ENSMUSG00000033880,12.202,22.2285,15.6007,0.7018,2.847,9.355,0.7667
Mrpl47,ENSMUSG00000037531,12.208,10.3813,14.8848,1.4338,4.419,7.789,0.638
F3,ENSMUSG00000028128,12.21,5.5967,6.9993,1.2506,2.527,9.683,0.793
Gpr27,ENSMUSG00000072875,12.211,35.1516,15.2963,0.4352,2.388,9.823,0.8044
Bysl,ENSMUSG00000023988,12.213,17.7542,13.6969,0.7715,3.854,8.359,0.6844
F830016B08Rik,ENSMUSG00000090942,12.215,0.2273,0.1211,0.5328,3.297,8.918,0.7301
Zfp966,ENSMUSG00000089756,12.219,0.2026,3.1799,15.6967,2.988,9.231,0.7555
Zfp109,ENSMUSG00000074283,12.22,0.446,1.5642,3.5069,2.932,9.288,0.7601
C2cd2l,ENSMUSG00000032120,12.221,57.185,29.441,0.5148,5.836,6.385,0.5225
Rbm43,ENSMUSG00000036249,12.222,18.8277,12.5802,0.6682,2.633,9.589,0.7846
Cox5a,ENSMUSG00000000088,12.222,888.7501,261.6001,0.2943,2.101,10.121,0.8281
Dact3,ENSMUSG00000078794,12.227,25.3238,14.181,0.56,2.989,9.238,0.7555
Rundc1,ENSMUSG00000035007,12.228,13.4444,9.4967,0.7064,3.223,9.005,0.7364
Ddx39b,ENSMUSG00000019432,12.229,74.5598,75.451,1.012,3.783,8.446,0.6907
Nkapd1,ENSMUSG00000059820,12.24,8.723,8.6333,0.9897,5.321,6.919,0.5653
Zfp128,ENSMUSG00000060397,12.245,2.3505,5.9906,2.5486,4.087,8.158,0.6662
Nipsnap3b,ENSMUSG00000015247,12.245,53.6193,16.9141,0.3154,1.687,10.558,0.8622
Trabd,ENSMUSG00000015363,12.246,38.4342,42.7109,1.1113,5.591,6.655,0.5434
Pde12,ENSMUSG00000043702,12.249,20.0571,9.2777,0.4626,7.725,4.524,0.3693
Mzt1,ENSMUSG00000033186,12.252,66.8381,27.6123,0.4131,2.563,9.689,0.7908
Arrdc4,ENSMUSG00000042659,12.257,15.3721,8.6125,0.5603,4.039,8.218,0.6705
Tomm22,ENSMUSG00000022427,12.257,216.6577,50.5757,0.2334,1.651,10.606,0.8653
Or7d10,ENSMUSG00000051118,12.259,0.3627,0.6499,1.7918,9.649,2.61,0.2129
Uchl1,ENSMUSG00000029223,12.261,2160.9275,1071.4442,0.4958,1.632,10.629,0.8669
Mettl21a,ENSMUSG00000025956,12.264,13.5318,6.5947,0.4873,3.005,9.259,0.755
Cers2,ENSMUSG00000015714,12.27,48.7277,18.7961,0.3857,3.676,8.594,0.7004
Haus2,ENSMUSG00000027285,12.272,24.831,24.8588,1.0011,3.218,9.054,0.7378
Eif5,ENSMUSG00000021282,12.273,225.3471,137.2069,0.6089,6.82,5.453,0.4443
Ilf2,ENSMUSG00000001016,12.274,28.0221,35.327,1.2607,8.58,3.694,0.301
Parp10,ENSMUSG00000063268,12.274,4.8157,7.6851,1.5959,4.275,7.999,0.6517
Il17re,ENSMUSG00000043088,12.274,0.6964,1.3399,1.9241,5.868,6.406,0.5219
Farsa,ENSMUSG00000003808,12.277,13.4882,22.6536,1.6795,4.538,7.739,0.6304
Scn2b,ENSMUSG00000070304,12.288,99.1484,62.0312,0.6256,4.656,7.632,0.6211
Slitrk2,ENSMUSG00000036790,12.289,20.3401,6.5994,0.3245,8.08,4.209,0.3425
Zmynd19,ENSMUSG00000026974,12.292,16.0592,10.5198,0.6551,4.168,8.124,0.6609
Fzr1,ENSMUSG00000020235,12.296,40.2204,20.8836,0.5192,4.488,7.808,0.635
S100a10,ENSMUSG00000041959,12.297,1414.8348,432.883,0.306,1.212,11.085,0.9014
Ibsp,ENSMUSG00000029306,12.301,0.2126,0.1564,0.7357,2.068,10.233,0.8319
Ribc1,ENSMUSG00000025257,12.305,0.1522,2.5224,16.5703,1.547,10.758,0.8743
Asb16,ENSMUSG00000034768,12.309,1.0595,0.1478,0.1395,2.843,9.466,0.769
Brk1,ENSMUSG00000033940,12.312,355.1942,91.2568,0.2569,1.095,11.217,0.9111
Clp1,ENSMUSG00000027079,12.312,4.3901,3.364,0.7663,2.672,9.64,0.783
Rab33b,ENSMUSG00000027739,12.312,30.154,13.0654,0.4333,3.538,8.774,0.7126
Oas1c,ENSMUSG00000001166,12.32,10.2486,13.6059,1.3276,2.405,9.915,0.8048
Timm8b,ENSMUSG00000039016,12.323,386.3199,61.6808,0.1597,0.518,11.805,0.958
Hsp90aa1,ENSMUSG00000021270,12.324,873.4022,544.5556,0.6235,3.931,8.393,0.681
Spmip6,ENSMUSG00000028441,12.332,1.1435,9.3803,8.2033,1.421,10.911,0.8848
Bgn,ENSMUSG00000031375,12.333,6.2151,7.2501,1.1665,6.099,6.234,0.5055
Gpat2,ENSMUSG00000046338,12.333,1.4761,0.3275,0.2219,2.628,9.705,0.7869
Ccnl2,ENSMUSG00000029068,12.335,39.1296,79.5958,2.0342,5.278,7.057,0.5721
Slc17a7,ENSMUSG00000070570,12.339,16.4964,11.6026,0.7033,5.392,6.947,0.563
Rmnd5b,ENSMUSG00000001054,12.34,20.9781,17.9492,0.8556,2.161,10.179,0.8249
Twf2,ENSMUSG00000023277,12.347,16.4653,19.2176,1.1672,2.319,10.028,0.8122
Arpc4,ENSMUSG00000079426,12.35,78.3145,34.8722,0.4453,2.321,10.029,0.8121
Agtrap,ENSMUSG00000029007,12.353,24.8446,21.5883,0.8689,4.236,8.117,0.6571
Fchsd1,ENSMUSG00000038524,12.357,18.5735,8.3306,0.4485,5.473,6.884,0.5571
Psmc3,ENSMUSG00000002102,12.36,137.4746,116.0226,0.844,2.607,9.753,0.7891
Bag6,ENSMUSG00000024392,12.361,44.2236,37.9402,0.8579,6.215,6.146,0.4972
Sytl1,ENSMUSG00000028860,12.361,0.1535,0.5438,3.5416,2.518,9.843,0.7963
Zfp598,ENSMUSG00000041130,12.362,15.8806,16.672,1.0498,3.895,8.467,0.6849
Lgi3,ENSMUSG00000033595,12.367,19.8699,16.004,0.8054,3.899,8.468,0.6847
Proca1,ENSMUSG00000044122,12.371,3.0597,5.796,1.8943,2.494,9.877,0.7984
Coq6,ENSMUSG00000021235,12.373,6.4308,10.2052,1.5869,3.142,9.231,0.7461
Tada3,ENSMUSG00000048930,12.378,26.1812,25.609,0.9781,3.883,8.495,0.6863
Rnf6,ENSMUSG00000029634,12.378,50.7271,45.0943,0.889,4.022,8.356,0.6751
Polr1f,ENSMUSG00000020561,12.381,22.4786,20.9864,0.9336,5.154,7.227,0.5837
Pkp3,ENSMUSG00000054065,12.383,2.108,1.2875,0.6108,3.616,8.767,0.708
Engase,ENSMUSG00000033857,12.384,4.9923,5.4791,1.0975,5.184,7.2,0.5814
Rasip1,ENSMUSG00000044562,12.389,3.5604,4.3481,1.2212,3.202,9.187,0.7415
Ap2s1,ENSMUSG00000008036,12.4,287.0586,99.3115,0.346,1.472,10.928,0.8813
Ndufaf7,ENSMUSG00000024082,12.4,19.4336,40.2482,2.0711,3.503,8.897,0.7175
Pigz,ENSMUSG00000045625,12.402,15.1294,12.2264,0.8081,2.541,9.861,0.7951
Abi3,ENSMUSG00000018381,12.402,0.3012,0.6648,2.2069,4.153,8.249,0.6651
Zbtb47,ENSMUSG00000013419,12.412,27.3343,21.5661,0.789,7.063,5.349,0.431
Nrgn,ENSMUSG00000053310,12.414,0.4418,11.8781,26.8826,1.453,10.961,0.883
Fcf1,ENSMUSG00000021243,12.418,14.727,25.7271,1.7469,1.117,11.301,0.91
Xbp1,ENSMUSG00000020484,12.421,84.8101,42.9983,0.507,3.248,9.173,0.7385
Zfp1003,ENSMUSG00000074521,12.421,2.469,2.5541,1.0345,5.136,7.285,0.5865
Mrgpra3,ENSMUSG00000078698,12.422,1.6392,2.1553,1.3148,1.295,11.127,0.8957
Unc119b,ENSMUSG00000046562,12.425,17.3177,12.7839,0.7382,4.603,7.822,0.6295
Tpra1,ENSMUSG00000002871,12.429,20.7665,12.2457,0.5897,4.171,8.258,0.6644
Adh5,ENSMUSG00000028138,12.432,22.6027,24.6749,1.0917,5.408,7.024,0.565
Bcl10,ENSMUSG00000028191,12.447,23.3595,16.8671,0.7221,4.564,7.883,0.6333
Ciao2a,ENSMUSG00000032381,12.45,40.4356,9.604,0.2375,1.24,11.21,0.9004
Maff,ENSMUSG00000042622,12.455,9.8005,1.3397,0.1367,2.594,9.861,0.7917
Kank3,ENSMUSG00000042099,12.456,6.3822,8.5535,1.3402,3.26,9.196,0.7383
Zfp54,ENSMUSG00000023882,12.456,1.1682,5.2525,4.4962,2.832,9.624,0.7726
N4bp3,ENSMUSG00000001053,12.458,1.4819,2.0676,1.3953,2.728,9.73,0.781
Dok2,ENSMUSG00000022102,12.459,0.848,2.1027,2.4797,2.902,9.557,0.7671
Mrpl37,ENSMUSG00000028622,12.461,22.8448,13.5377,0.5926,4.46,8.001,0.6421
Rps6ka4,ENSMUSG00000118668,12.467,2.7287,1.5187,0.5566,3.581,8.886,0.7128
Gjc3,ENSMUSG00000056966,12.471,7.2631,16.8539,2.3205,4.356,8.115,0.6507
Aqp1,ENSMUSG00000004655,12.472,81.4497,43.8224,0.538,2.627,9.845,0.7894
Zfp661,ENSMUSG00000034800,12.475,2.415,2.8149,1.1656,5.165,7.31,0.586
Folr1,ENSMUSG00000001827,12.477,0.177,0.4606,2.6018,2.297,10.18,0.8159
Lysmd2,ENSMUSG00000032184,12.478,83.4923,36.5612,0.4379,1.543,10.935,0.8763
Atat1,ENSMUSG00000024426,12.486,12.0763,22.0926,1.8294,4.586,7.9,0.6327
Ap2m1,ENSMUSG00000022841,12.489,442.9378,129.1732,0.2916,4.12,8.369,0.6701
Grem1,ENSMUSG00000074934,12.491,3.7557,1.7757,0.4728,4.148,8.343,0.6679
Carmil2,ENSMUSG00000050357,12.493,65.7169,46.7196,0.7109,5.487,7.006,0.5608
Chchd4,ENSMUSG00000034203,12.498,56.2545,21.0967,0.375,5.192,7.306,0.5846
Bag2,ENSMUSG00000042215,12.498,29.2381,21.1372,0.7229,3.059,9.439,0.7552
Sema3g,ENSMUSG00000021904,12.501,1.3348,1.3653,1.0228,4.54,7.961,0.6368
Sdr42e1,ENSMUSG00000034308,12.504,3.2391,3.0233,0.9334,2.957,9.547,0.7635
Natd1,ENSMUSG00000018931,12.504,4.1253,7.8554,1.9042,4.247,8.257,0.6603
Smdt1,ENSMUSG00000022452,12.518,1301.1262,194.8575,0.1498,1.479,11.039,0.8819
Aaas,ENSMUSG00000036678,12.519,3.8403,11.2565,2.9311,2.798,9.721,0.7765
Ropn1l,ENSMUSG00000022236,12.528,0.9909,2.6267,2.6507,0.957,11.571,0.9236
Zdhhc16,ENSMUSG00000025157,12.528,19.2468,15.253,0.7925,3.336,9.192,0.7337
Ang,ENSMUSG00000072115,12.54,1.3098,1.0656,0.8136,1.202,11.338,0.9041
Rnh1,ENSMUSG00000038650,12.54,64.7678,45.5717,0.7036,2.594,9.946,0.7931
Mrpl15,ENSMUSG00000033845,12.543,29.146,33.9875,1.1661,8.487,4.056,0.3234
Snf8,ENSMUSG00000006058,12.545,108.3406,56.9638,0.5258,2.677,9.868,0.7866
Kbtbd8,ENSMUSG00000030031,12.55,3.3829,3.5542,1.0506,5.093,7.457,0.5942
Dok4,ENSMUSG00000040631,12.55,72.129,59.4354,0.824,3.054,9.496,0.7567
