gse,group,verdict,reason,unit,n_samples,n_columns,Oprl1,Oprm1,Oprd1,Oprk1,top_receptor,runner_up,margin,Snap25,Tubb3,Plp1,Sox10,Ptprc,Snap25_over_Plp1,Atf3,Fos,Jun,title,file
GSE287526,FPKM.WN,read,,length-normalised,12,6.0,21.094,5.781,14.72,1.797,Oprl1,Oprd1,1.433,694.709,4156.038,202.099,57.682,1.091,3.4375,9.508,7.524,67.014,"DRG bulk RNAseq: Repeated Injections Of Intra-articular Nerve Growth Factor Into The Naive Murine Knee Joint Cause Synovial Inflammation, Knee Sensitization, And Neuronal Sprouting",GSE287526_4_genes_fpkm_expression.txt.gz
GSE287526,FPKM.WV,read,,length-normalised,12,6.0,21.584,5.508,13.529,1.537,Oprl1,Oprd1,1.595,629.084,3973.468,194.895,42.201,1.544,3.2278,15.616,8.332,65.948,"DRG bulk RNAseq: Repeated Injections Of Intra-articular Nerve Growth Factor Into The Naive Murine Knee Joint Cause Synovial Inflammation, Knee Sensitization, And Neuronal Sprouting",GSE287526_4_genes_fpkm_expression.txt.gz
GSE287526,count.PN,read,,length-normalised,12,3.0,24.14,17.488,15.988,4.713,Oprl1,Oprm1,1.38,1391.432,2441.892,331.121,45.26,5.681,4.2022,12.124,3.225,77.838,"DRG bulk RNAseq: Repeated Injections Of Intra-articular Nerve Growth Factor Into The Naive Murine Knee Joint Cause Synovial Inflammation, Knee Sensitization, And Neuronal Sprouting",GSE287526_4_genes_fpkm_expression.txt.gz
GSE287526,count.PV,read,,length-normalised,12,3.0,27.655,11.37,14.522,4.157,Oprl1,Oprd1,1.904,1369.579,2545.287,312.839,43.216,5.849,4.3779,14.139,2.979,79.495,"DRG bulk RNAseq: Repeated Injections Of Intra-articular Nerve Growth Factor Into The Naive Murine Knee Joint Cause Synovial Inflammation, Knee Sensitization, And Neuronal Sprouting",GSE287526_4_genes_fpkm_expression.txt.gz
GSE287526,count.WN,read,,length-normalised,12,6.0,23.09,13.551,17.206,4.79,Oprl1,Oprd1,1.342,1371.957,2256.812,326.034,51.117,5.88,4.208,5.994,5.25,62.241,"DRG bulk RNAseq: Repeated Injections Of Intra-articular Nerve Growth Factor Into The Naive Murine Knee Joint Cause Synovial Inflammation, Knee Sensitization, And Neuronal Sprouting",GSE287526_4_genes_fpkm_expression.txt.gz
GSE287526,count.WV,read,,length-normalised,12,6.0,25.436,14.02,17.043,4.443,Oprl1,Oprd1,1.492,1339.012,2331.301,340.638,40.4,8.966,3.9309,10.68,6.275,66.081,"DRG bulk RNAseq: Repeated Injections Of Intra-articular Nerve Growth Factor Into The Naive Murine Knee Joint Cause Synovial Inflammation, Knee Sensitization, And Neuronal Sprouting",GSE287526_4_genes_fpkm_expression.txt.gz
GSE284991,wt,hold,"Snap25 0.0 below 100 CPM; Snap25/Plp1 0.000 below 0.05; counts, so an ordering would compare transcript lengths",counts,6,3.0,0.0,0.0,0.0,,Oprl1,Oprm1,inf,0.0,156.181,4700.966,582.804,0.4,0.0,1490.617,594.337,332.329,SLIT2 regulates the skeletal stem cell niche through sympathetic innervation,GSE284991_SLIT2-counts-xls.txt.gz
GSE284991,ko,hold,"Snap25 0.198 below 100 CPM; Snap25/Plp1 0.000 below 0.05; counts, so an ordering would compare transcript lengths",counts,6,3.0,0.0,0.0,0.0,,Oprl1,Oprm1,inf,0.198,98.374,11413.754,533.557,2.289,0.0,895.634,760.771,352.944,SLIT2 regulates the skeletal stem cell niche through sympathetic innervation,GSE284991_SLIT2-counts-xls.txt.gz
GSE296324,,unusable layout,"no gene column, or fewer than 3 sample columns",,8,,,,,,,,,,,,,,,,,,"PROX1 Controls Cellular Patterning, Innervation and Differentiation in the Mouse Organ of Corti",GSE296324_KO_summary.txt.gz
GSE283287,FPKM.CFA,read,,length-normalised,15,3.0,13.408,0.551,11.97,0.965,Oprl1,Oprd1,1.12,760.436,5219.511,194.424,88.166,0.519,3.9112,10.126,11.604,106.317,Changes of gene expression in DRG tissue after pathologic pain,GSE283287_CFA-FPKM.csv.csv.gz
GSE283287,FPKM.Naive,read,,length-normalised,15,3.0,16.336,0.733,11.805,0.816,Oprl1,Oprd1,1.384,761.18,5403.853,223.843,115.287,0.661,3.4005,13.156,8.789,100.566,Changes of gene expression in DRG tissue after pathologic pain,GSE283287_CFA-FPKM.csv.csv.gz
GSE283287,fc,hold,Snap25 1.135 below 100 CPM,length-normalised,15,1.0,0.931,0.84,1.146,1.328,Oprk1,Oprd1,1.159,1.135,1.089,0.987,0.862,0.885,1.1499,0.874,1.498,1.203,Changes of gene expression in DRG tissue after pathologic pain,GSE283287_CFA-FPKM.csv.csv.gz
GSE262418,,unusable layout,"no gene column, or fewer than 3 sample columns",,75,,,,,,,,,,,,,,,,,,Gpr37 contributes to inflammation-induced GI dysmotility by regulating enteric reactive gliosis.,GSE262418_Plp1EGCs_RawCounts.txt.gz
GSE272046,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Maternal Stress Triggers Early-Life Eczema via Fetal Mast Cell Reprogramming [DRG-bulkRNAseq],
GSE291933,WT,hold,Snap25 1.923 below 100 CPM,length-normalised,12,3.0,0.019,0.0,0.195,0.0,Oprd1,Oprl1,10.263,1.923,5.794,0.553,0.0,0.094,3.4774,11.207,7.034,0.03,Sensory neurons drive pancreatic cancer progression through glutamatergic cancer-neuron pseudo-synapses,GSE291933_FPKMs_allSamples.txt.gz
GSE291933,KO,hold,Snap25 0.064 below 100 CPM,length-normalised,12,3.0,0.009,0.0,0.04,0.088,Oprk1,Oprd1,2.2,0.064,73.352,0.621,0.0,0.026,0.1031,17.725,1.946,0.0,Sensory neurons drive pancreatic cancer progression through glutamatergic cancer-neuron pseudo-synapses,GSE291933_FPKMs_allSamples.txt.gz
GSE291933,MKPC,hold,Snap25 1.845 below 100 CPM,length-normalised,12,3.0,0.012,0.0,0.0,0.0,Oprl1,Oprm1,inf,1.845,5.361,0.415,0.0,0.221,4.4458,9.956,8.105,0.024,Sensory neurons drive pancreatic cancer progression through glutamatergic cancer-neuron pseudo-synapses,GSE291933_FPKMs_allSamples.txt.gz
GSE291933,MDRG,hold,Snap25 0.226 below 100 CPM; Snap25/Plp1 0.002 below 0.05,length-normalised,12,3.0,0.571,0.01,0.0,0.0,Oprl1,Oprm1,57.1,0.226,57.197,152.874,147.526,14.374,0.0015,131.504,46.536,139.169,Sensory neurons drive pancreatic cancer progression through glutamatergic cancer-neuron pseudo-synapses,GSE291933_FPKMs_allSamples.txt.gz
GSE233824,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,Sciatic nerve crush regulation of RNA alternative poly-adenylation [DRGinjury_2019-QuantSeq_Rev_24h],
GSE230722,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Sciatic nerve crush regulation of ribosome-associated RNA in DRG neurons,
GSE230721,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,Sciatic nerve crush regulation of RNA alternative poly-adenylation,
GSE230720,,no matrix,no flat matrix; per-sample RAW archive only,,16,,,,,,,,,,,,,,,,,,Sciatic nerve crush upregulation of B2-SINE expression at specific genomic loci,
GSE247473,,no matrix,no flat matrix; per-sample RAW archive only,,15,,,,,,,,,,,,,,,,,,Therapeutic Restoration of miR-96 Prevents Hearing Loss in Mice through Modulation of Noise-Induced and Genetic Pathways,
GSE294447,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Neural representation of cytokines by vagal sensory neurons,
GSE293324,,no matrix,no flat matrix; per-sample RAW archive only,,4,,,,,,,,,,,,,,,,,,CHD7 binds to insulators during neuronal differentiation [RNA-Seq],
GSE272525,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Early life stress modulates neonatal somatosensation and the transcriptional profile of immature sensory neurons,
GSE241850,,no matrix,no flat matrix; per-sample RAW archive only,,57,,,,,,,,,,,,,,,,,,Psychological stress-induced ALKBH5 deficiency promotes tumour innervation and pancreatic cancer progression via extracellular vesicle transfer of m6A-modified RNAs,
GSE268185,,unusable layout,"no gene column, or fewer than 3 sample columns",,10,,,,,,,,,,,,,,,,,,Upregulation of the neuropeptide receptor calcitonin receptor-like in the spinal cord via MLL2 in a mouse model of paclitaxel-induced peripheral neuropathy,GSE268185_rsem.merged.gene_counts.tsv.gz
GSE286272,,no matrix,no flat matrix; per-sample RAW archive only,,18,,,,,,,,,,,,,,,,,,Effect of cyclic strain in neurons isolated from dorsal root ganglia,
GSE230460,,no matrix,no flat matrix; per-sample RAW archive only,,4,,,,,,,,,,,,,,,,,,Ribosome profiling of dorsal root ganglia tissues from mice with paclitaxel induced neuropathy,
GSE230459,,no matrix,no flat matrix; per-sample RAW archive only,,4,,,,,,,,,,,,,,,,,,RNA sequencing of dorsal root ganglia tissues from mice with paclitaxel induced neuropathy,
GSE230456,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,Ribosome profiling of murine dorsal root ganglia tissues,
GSE230454,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,RNA sequencing of murine dorsal root ganglia tissues,
GSE272517,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,Histone Methyltransferase G9a in Primary Sensory Neurons Promotes Inflammatory Pain and Transcription of Trpa1 and Trpv1 via Bivalent Histone Modifications,
GSE213158,,no matrix,no flat matrix; per-sample RAW archive only,,28,,,,,,,,,,,,,,,,,,Multipotent neural stem cells originating from neuroepithelium exist outside of the mouse central nervous system,
GSE275790,,too large,2519 MB supplementary file,,12,,,,,,,,,,,,,,,,,,Lateral olivocochlear neurons modulate cochlear responses to noise exposure,GSE275790_OCN_Norm_Data.csv.gz
GSE279047,,unusable layout,"no gene column, or fewer than 3 sample columns",,23,,,,,,,,,,,,,,,,,,Heteromeric Kv1.2 channels counteract persistent sodium currents in proprioceptive DRG neurons,GSE279047_raw.counts.csv.gz
GSE232451,,unusable layout,"no gene column, or fewer than 3 sample columns",,9,,,,,,,,,,,,,,,,,,Transcriptome profiling tumor cells-of-origin from Nf1 and Nf1-Arf null murine model of Neurofibromatosis Type 1,GSE232451_DESeq2_normalized_counts.txt.gz
GSE248462,,unusable layout,"no gene column, or fewer than 3 sample columns",,48,,,,,,,,,,,,,,,,,,Hepatic Vagal Afferents Convey Clock-Dependent Signals to Regulate Circadian Food Intake Patterns,GSE248462_rawCount.txt.gz
GSE283753,,unusable layout,"no gene column, or fewer than 3 sample columns",,21,,,,,,,,,,,,,,,,,,Endogenous patterned activity-regulated genes specifically regulate different phases of synaptogenesis in the auditory system,GSE283753_counts_all.csv.gz
GSE283391,,no matrix,no flat matrix; per-sample RAW archive only,,16,,,,,,,,,,,,,,,,,,Effects of Nogo-A deletion on the trigeminal ganglion,
GSE215333,ash1l,read,,length-normalised,6,3.0,19.358,7.076,13.428,1.402,Oprl1,Oprd1,1.442,788.104,5249.935,346.909,116.384,0.524,2.2718,47.929,8.984,150.092,Neuronal Ash1L Gates Skin Psoriasis Via Activity-dependent Release of miR-let-7b,GSE215333_ash1l_wt_gene_fpkm.txt.gz
GSE215333,wt,read,,length-normalised,6,3.0,18.278,2.339,9.688,1.127,Oprl1,Oprd1,1.887,533.042,4069.871,342.058,112.731,0.399,1.5583,10.972,7.118,118.269,Neuronal Ash1L Gates Skin Psoriasis Via Activity-dependent Release of miR-let-7b,GSE215333_ash1l_wt_gene_fpkm.txt.gz
GSE242669,,unusable layout,"no gene column, or fewer than 3 sample columns",,4,,,,,,,,,,,,,,,,,,The upregulation of K+ and HCN channels in developing spiral ganglion neurons is mediated by cochlear inner hair cells,GSE242669_Otof_salmon_genecounts.tsv.gz
GSE246252,FPKM.DMM_AP,read,,length-normalised,19,5.0,4.377,0.493,1.255,0.336,Oprl1,Oprd1,3.488,185.73,807.319,125.936,18.376,53.476,1.4748,12.774,21.389,40.99,Macrophage depletion alleviates pain-related behaviors in osteoarthritic mice,GSE246252_4_genes_fpkm_expression.txt.gz
GSE246252,FPKM.DMM_Veh,read,,length-normalised,19,5.0,11.055,2.533,5.838,0.916,Oprl1,Oprd1,1.894,490.106,2564.133,203.395,37.083,15.913,2.4096,14.372,7.691,66.538,Macrophage depletion alleviates pain-related behaviors in osteoarthritic mice,GSE246252_4_genes_fpkm_expression.txt.gz
GSE246252,FPKM.Naive_Veh,read,,length-normalised,19,5.0,12.018,2.757,6.995,1.078,Oprl1,Oprd1,1.718,524.67,2788.489,175.88,32.661,10.307,2.9831,10.568,7.188,63.947,Macrophage depletion alleviates pain-related behaviors in osteoarthritic mice,GSE246252_4_genes_fpkm_expression.txt.gz
GSE246252,FPKM.Naive_AP,read,,length-normalised,19,4.0,5.023,0.688,2.902,0.366,Oprl1,Oprd1,1.731,267.668,1202.521,122.849,30.495,26.562,2.1788,17.596,13.867,52.179,Macrophage depletion alleviates pain-related behaviors in osteoarthritic mice,GSE246252_4_genes_fpkm_expression.txt.gz
GSE246252,count.DMM_AP,read,,length-normalised,19,5.0,6.982,1.672,2.091,1.319,Oprl1,Oprd1,3.339,534.097,632.233,297.855,23.691,417.252,1.7931,11.698,21.333,55.162,Macrophage depletion alleviates pain-related behaviors in osteoarthritic mice,GSE246252_4_genes_fpkm_expression.txt.gz
GSE246252,count.DMM_Veh,read,,length-normalised,19,5.0,14.033,6.566,7.74,2.806,Oprl1,Oprd1,1.813,1155.076,1663.376,411.321,40.955,112.373,2.8082,11.059,6.794,73.636,Macrophage depletion alleviates pain-related behaviors in osteoarthritic mice,GSE246252_4_genes_fpkm_expression.txt.gz
GSE246252,count.Naive_AP,read,,length-normalised,19,4.0,7.643,2.158,4.535,1.308,Oprl1,Oprd1,1.685,730.512,899.609,288.393,39.079,213.429,2.533,15.852,14.668,68.521,Macrophage depletion alleviates pain-related behaviors in osteoarthritic mice,GSE246252_4_genes_fpkm_expression.txt.gz
GSE246252,count.Naive_Veh,read,,length-normalised,19,5.0,15.278,7.449,9.33,3.333,Oprl1,Oprd1,1.638,1198.376,1756.39,339.1,34.11,66.821,3.534,7.804,5.81,68.852,Macrophage depletion alleviates pain-related behaviors in osteoarthritic mice,GSE246252_4_genes_fpkm_expression.txt.gz
GSE249687,,no matrix,no flat matrix; per-sample RAW archive only,,52,,,,,,,,,,,,,,,,,,Three-dimensional chromatin architecture in DRG neurons following sciatic nerve injury in WT and Rad21 KO mice.,
GSE241361,all,hold,"counts, so an ordering would compare transcript lengths",counts,36,35.0,48.021,9.077,9.405,12.94,Oprl1,Oprk1,3.711,1754.191,1277.814,4758.091,51.896,11.421,0.3687,78.899,13.551,46.576,Sigma-1 Receptors Control Neuropathic Pain and Peripheral Neuroinflammation After Nerve Injury in Female Mice: A Transcriptomic Study,GSE241361_Raw_expression.tsv.gz
GSE240708,,no matrix,no flat matrix; per-sample RAW archive only,,53,,,,,,,,,,,,,,,,,,Degenerative and regenerative peripheral processes are associated with persistent painful chemotherapy-induced neuropathies in males and females,
GSE239596,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Vagal Sensory Neuron-Derived FGF3 Regulates Insulin Secretion and Energy Balance,
GSE242208,Transcripts Per Million,hold,Snap25 12.192 below 100 CPM,length-normalised,12,1.0,0.14,0.0,0.115,0.271,Oprk1,Oprl1,1.936,12.192,8.741,6.512,2.007,9.123,1.8722,31.761,261.099,67.396,Glial Guidance Drives Postnatal Intestinal Reinnervation by Enteric Neurons,GSE242208_TPM_EdgeR_all_samples.txt.gz
GSE242208,all,hold,Snap25 0.064 below 100 CPM; Snap25/Plp1 0.002 below 0.05,length-normalised,12,15.0,2.119,31.673,40.342,0.008,Oprd1,Oprm1,1.274,0.064,0.228,43.698,28.529,38.444,0.0015,39.054,25.221,43.698,Glial Guidance Drives Postnatal Intestinal Reinnervation by Enteric Neurons,GSE242208_TPM_EdgeR_all_samples.txt.gz
GSE242208,EdgeR ,hold,Snap25 -762.018 below 100 CPM,length-normalised,12,1.0,-1226.458,783.336,-146.264,-2859.812,Oprm1,Oprd1,inf,-762.018,-900.927,-3.878,-175.826,-148.423,,105.625,-367.021,14.561,Glial Guidance Drives Postnatal Intestinal Reinnervation by Enteric Neurons,GSE242208_TPM_EdgeR_all_samples.txt.gz
GSE225224,,no matrix,no flat matrix; per-sample RAW archive only,,46,,,,,,,,,,,,,,,,,,Transcriptomic analysis of peripheral neuropathy in a high-fat diet-induced mouse model of type 2 diabetes,
GSE210649,,unusable layout,"no gene column, or fewer than 3 sample columns",,36,,,,,,,,,,,,,,,,,,Gut microbiota depletion delays peripheral nerve development and impairs neuromuscular junction maturation,GSE210649_adultSN.norm_counts.cpm.tmm.txt.gz
GSE233706,,unusable layout,"no gene column, or fewer than 3 sample columns",,6,,,,,,,,,,,,,,,,,,ISL1 and POU4F1 directly interact to regulate the differentiation and survival of inner ear sensory neurons,GSE233706_E12_5_rep1_barcodes.tsv.gz
GSE261676,,no matrix,no flat matrix; per-sample RAW archive only,,16,,,,,,,,,,,,,,,,,,Desipramine Induces Anti-inflammatory Dorsal Root Ganglion Transcriptional Signatures in the Murine Spared Nerve Injury Model,
GSE172064,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Comparing axon regeneration in male and female mice after peripheral nerve injury,
GSE254269,,unusable layout,"no gene column, or fewer than 3 sample columns",,20,,,,,,,,,,,,,,,,,,BAI1 localises AMPA receptors at the cochlear afferent postsynaptic density and is,GSE254269_salmon_counts_P7.csv.gz
GSE260669,all,hold,"counts, so an ordering would compare transcript lengths",counts,11,22.0,18.03,1.058,2.191,2.772,Oprl1,Oprk1,6.504,982.652,3337.494,308.647,97.121,2.503,3.1837,41.19,5.493,112.093,Satellite glial GPR37L1 and its ligand maresin 1 regulate potassium channel signaling and pain homeostasis.,GSE260669_Raw_processing.txt.gz
GSE223788,,no samples,no column group had a positive library size,,9,,,,,,,,,,,,,,,,,,Touch receptor end-organ innervation and function requires sensory expression of the transcription factor Meis2,GSE223788_Differencial_analysis_updated.tsv.gz
GSE235687,ZT,read,,length-normalised,7,7.0,7.636,1.57,0.55,1.828,Oprl1,Oprk1,4.177,2301.221,3538.535,779.924,9.219,10.005,2.9506,355.175,170.294,391.068,The circadian clock time tunes axonal regeneration,GSE235687_tpm_anno.csv.gz
GSE252089,A,hold,Snap25 1.777 below 100 CPM; Snap25/Plp1 0.002 below 0.05,length-normalised,16,8.0,0.187,0.022,0.0,0.003,Oprl1,Oprm1,8.5,1.777,31.969,1054.05,577.505,1.524,0.0017,50.088,23.256,71.993,Activation of XBP1s attenuates disease severity in models of proteotoxic Charcot-Marie-Tooth type 1B,GSE252089_TPM_values_wt_S63del.csv.gz
GSE214722,GFP_rep,read,,length-normalised,6,3.0,17.275,0.0,13.496,0.021,Oprl1,Oprd1,1.28,2350.059,3789.554,71.291,1.372,0.073,32.9643,74.541,183.188,306.401,Deregulation of neuronal polarization promotes axonal growth after spinal cord injury,GSE214722_TPM_all_anno.txt.gz
GSE214722,Cited2_rep,read,,length-normalised,6,3.0,19.261,0.0,14.409,0.025,Oprl1,Oprd1,1.337,2351.322,3740.865,66.981,0.348,0.098,35.1043,76.66,192.248,320.192,Deregulation of neuronal polarization promotes axonal growth after spinal cord injury,GSE214722_TPM_all_anno.txt.gz
GSE250213,,no matrix,no flat matrix; per-sample RAW archive only,,54,,,,,,,,,,,,,,,,,,"The miR-183/96/182 Cluster Regulates Sensory Innervation, Resident Myeloid Cells and Functions of the Cornea Through Cell type-specific Target Genes",
GSE226517,,no matrix,supplementary listing unavailable (HTTPError),,12,,,,,,,,,,,,,,,,,,Effect of subchronic ototoxicity on the vestibular ganglion in rodents,
GSE226515,AD,hold,"counts, so an ordering would compare transcript lengths",counts,6,6.0,67.971,0.421,0.134,7.189,Oprl1,Oprk1,9.455,6900.031,818.393,1136.775,30.634,4.613,6.0698,8.664,13.057,36.018,"Effect of subchronic ototoxic (3,3'-iminodipropionitrile - IDPN) exposure on the vestibular ganglion of the mouse.",GSE226515_COUNTS_genes_LLORENS_01.txt.gz
GSE232789,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,The pelvic ganglion is a divergent outpost of the sympathetic chains,
GSE161826,,no matrix,no flat matrix; per-sample RAW archive only,,30,,,,,,,,,,,,,,,,,,Translation Regulation of the Prolactin Receptor Defines Sexually Dimorphic Pain Responses to Prolactin,
GSE211929,,no matrix,no flat matrix; per-sample RAW archive only,,10,,,,,,,,,,,,,,,,,,Analysis of the consequences of the constitutive  loss of Prdm12 in developing trigeminal ganglia,
GSE240557,,no matrix,no flat matrix; per-sample RAW archive only,,10,,,,,,,,,,,,,,,,,,Kif2a operates as a gatekeeper of nociception in sensory neurons [RNA-seq - 1 month],
GSE222924,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Kif2a operates as a gatekeeper of nociception in sensory neurons [RNA-seq - 6 months],
GSE222923,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Kif2a operates as a gatekeeper of nociception in sensory neurons [RNA-seq - 3 months],
GSE230867,,unusable layout,"no gene column, or fewer than 3 sample columns",,124,,,,,,,,,,,,,,,,,,Transcriptome analysis of familial dysautonomia reveals tissue-specific gene expression disruption in the peripheral nervous system,GSE230867_Supplementary_Table_S1_DEG_stats.txt.gz
GSE228189,,no matrix,no flat matrix; per-sample RAW archive only,,10,,,,,,,,,,,,,,,,,,Integrated Analysis of Transcriptome and Secretome of Sensory Neurons Reveals Sex Difference in Pathways Relevant to Insulin Sensitivity and Insulin Secretion,
GSE200140,,unusable layout,"no gene column, or fewer than 3 sample columns",,16,,,,,,,,,,,,,,,,,,Transcriptome analysis by RNA sequencing of the cortical brain in a mouse model of early life pain,GSE200140_ELP_EdgeR_36930_allgenes.txt.gz
GSE236910,,no matrix,no flat matrix; per-sample RAW archive only,,9,,,,,,,,,,,,,,,,,,Sciatic nerve injury-responsive differential CSDE1 association efficiency of ribosomal protein coding mRNAs,
GSE233367,all,hold,Snap25 91.877 below 100 CPM,length-normalised,6,6.0,5.545,0.983,1.438,0.346,Oprl1,Oprd1,3.856,91.877,418.963,100.015,150.098,0.167,0.9186,174.343,331.814,1426.712,Circadian clock regulator Bmal1 gates axon regeneration via Tet3-5hmC mediated epigenetics,GSE233367_fpkm_genic_matrix.txt.gz
GSE216802,MM,hold,"counts, so an ordering would compare transcript lengths",counts,18,9.0,15.9,11.31,18.109,3.372,Oprd1,Oprl1,1.139,1353.578,2140.358,486.619,116.873,29.259,2.7816,29.843,15.027,130.174,Mouse DRG RNA-Seq,GSE216802_all.samples.normalized.counts.tsv.gz
GSE216802,SHAM,hold,"counts, so an ordering would compare transcript lengths",counts,18,9.0,18.031,13.456,20.146,3.561,Oprd1,Oprl1,1.117,1479.532,2135.192,445.882,120.988,5.348,3.3182,14.661,5.582,110.963,Mouse DRG RNA-Seq,GSE216802_all.samples.normalized.counts.tsv.gz
GSE213826,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Bulk RNAseq analysis of dorsal root ganglia from global Nav1.7 knockout mice,
GSE213827,,no matrix,no flat matrix; per-sample RAW archive only,,22,,,,,,,,,,,,,,,,,,RNAseq analysis of dorsal root ganglia from global Nav1.7 knockout mice,
GSE229143,all,hold,"counts, so an ordering would compare transcript lengths",counts,12,12.0,14.257,7.943,10.515,3.83,Oprl1,Oprd1,1.356,1049.301,2309.802,1102.665,154.66,8.1,0.9516,43.145,16.926,130.061,Sensory ataxia and cardiac hypertrophy caused by neurovascular oxidative stress,GSE229143_gene_count.txt.gz
GSE211127,,no matrix,no flat matrix; per-sample RAW archive only,,7,,,,,,,,,,,,,,,,,,Nonsense-mediated decay constrains nociceptive responses through repression of the integrated stress response,
GSE230178,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Characterization of pain-related behaviors and gene expression profiling of peripheral sensory ganglia of a mouse model of acute ankle sprain,
GSE228028,,no matrix,supplementary listing unavailable (HTTPError),,39,,,,,,,,,,,,,,,,,,IL-13 promotes sensory-sympathetic neurons crosstalk in asthma,
GSE227968,Vehicle,read,,length-normalised,15,3.0,1.308,12.901,0.796,1.226,Oprm1,Oprl1,9.863,1269.809,460.149,15.23,15.203,0.159,83.3755,586.836,64.189,150.807,IL-13 promotes sensory-sympathetic neurons crosstalk in asthma [RNA-seq II],GSE227968_summary_genes_FPKM.stranded.annotated.tsv.gz
GSE227968,BDNF,read,,length-normalised,15,4.0,1.151,9.663,0.43,1.702,Oprm1,Oprk1,5.677,1115.849,437.623,13.709,20.878,0.372,81.3954,384.908,102.584,124.713,IL-13 promotes sensory-sympathetic neurons crosstalk in asthma [RNA-seq II],GSE227968_summary_genes_FPKM.stranded.annotated.tsv.gz
GSE227968,IL1b,read,,length-normalised,15,4.0,2.391,7.739,0.808,0.811,Oprm1,Oprl1,3.237,1046.823,414.969,10.467,11.878,7.902,100.0118,460.189,66.836,138.212,IL-13 promotes sensory-sympathetic neurons crosstalk in asthma [RNA-seq II],GSE227968_summary_genes_FPKM.stranded.annotated.tsv.gz
GSE227968,TNFa,read,,length-normalised,15,4.0,1.387,14.264,0.433,1.656,Oprm1,Oprk1,8.614,1217.278,447.685,11.207,11.36,0.903,108.6176,643.039,63.047,147.464,IL-13 promotes sensory-sympathetic neurons crosstalk in asthma [RNA-seq II],GSE227968_summary_genes_FPKM.stranded.annotated.tsv.gz
GSE227845,,unusable layout,"no gene column, or fewer than 3 sample columns",,17,,,,,,,,,,,,,,,,,,Ontogeny and Trophic Factor Sensitivity of Gastrointestinal Projecting Vagal Sensory Cell Types,GSE227845_week12_Male_ControlvsP7_Male_Control_all_detectable_genes.csv.gz
GSE223724,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,EGR4 is critical for cell-fate determination and maintenance of Geniculate Ganglion neurons underlying sweet and umami taste,
GSE164198,,unusable layout,"no gene column, or fewer than 3 sample columns",,16,,,,,,,,,,,,,,,,,,Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and knock-in TrkAC lumbar dorsal roots ganglia transcriptomes in a context of arthritis induced by intra-articular injection of complete Freund's adjuvant,GSE164198_Raw_Counts_RNA-Seq_Marchand.txt.gz
GSE188776,,unusable layout,"no gene column, or fewer than 3 sample columns",,9,,,,,,,,,,,,,,,,,,Transcriptional Profiling of Dorsal Root Ganglion Neurons Following Sciatic Nerve Injury,GSE188776_meta.tsv.gz
GSE188775,,unusable layout,"no gene column, or fewer than 3 sample columns",,19,,,,,,,,,,,,,,,,,,Transcriptional Analysis of the Effects of Integrin-driven Axon Regeneration in the Spinal Cord,GSE188775_meta.tsv.gz
GSE195500,,unusable layout,"no gene column, or fewer than 3 sample columns",,14,,,,,,,,,,,,,,,,,,Spiral ganglion subtype specification occurs prior to birth in the mouse,GSE195500_SGN_Combined_counts.csv.gz
GSE145125,all,hold,"counts, so an ordering would compare transcript lengths",counts,6,6.0,29.104,11.049,23.465,4.838,Oprl1,Oprd1,1.24,1232.299,2339.273,1385.191,118.128,11.663,0.8896,14.211,36.073,117.189,HDAC2 in primary sensory neurons constitutively restrains chronic pain   by repressing α2δ-1 expression and associated NMDA receptor activity,GSE145125_FeatureCountshdac2.txt.gz
GSE167464,,unusable layout,"no gene column, or fewer than 3 sample columns",,12,,,,,,,,,,,,,,,,,,Enteric glial cells favor accumulation of anti-inflammatory macrophages during the resolution of muscularis inflammation,GSE167464_Plp_Cre_ERT2_RiboTag_counts_file.txt.gz
