gene,log2_neuron_over_glia
Oaz2,0.651
Zfp609,-0.427
Trip4,0.161
Pclaf,-3.62
Csnk1g1,0.31
Ppib,-1.037
Snx22,-1.473
Snx1,-1.232
Ciao2a,-0.948
Dapk2,-4.126
Herc1,0.935
Gm28379,0.155
Fbxl22,-2.465
Usp3,-0.541
Gm15563,0.0
Car12,-0.427
Aph1b,0.14
BC050972,0.178
Aph1c,-0.337
Gm17098,-0.117
Rab8b,-1.088
Rps27l,-0.481
Lactb,-0.55
Tpm1,-0.033
Gm10646,-0.038
Gm19299,-0.135
Tln2,0.873
Gm47047,-0.02
M5C1000I18Rik,1.47
C2cd4b,0.563
C2cd4a,0.812
Vps13c,0.807
Gm20745,0.0
Gm28195,0.0
4930502A04Rik,0.0
Rora,-0.932
Gm15511,0.0
Ice2,-0.575
Anxa2,-0.025
Gm16144,0.015
Foxb1,0.0
B230323A14Rik,0.0
Gm28731,-1.043
Bnip2,-1.742
Gtf2a2,0.058
Gcnt3,-0.158
2210414F02Rik,0.0
Fam81a,-0.131
Myo1e,-3.252
Ccnb2,-3.582
Rnf111,-0.218
Sltm,-0.118
Mindy2,-0.22
Gm10642,0.879
Adam10,-1.324
Lipc,-1.814
Gm32017,0.123
Aqp9,-2.79
Gm32511,0.0
Aldh1a2,-1.374
Polr2m,0.241
Myzap,-2.805
Cgnl1,-3.462
Tcf12,-1.483
Gm27159,0.0
Gm27188,0.0
Gm27253,-0.329
Zfp280d,-0.177
BC065403,-1.17
Gm27230,0.0
Gm27255,0.0
Mns1,-2.309
Gm27231,0.0
Tex9,-0.314
4930509E16Rik,-0.19
Rfx7,-0.086
Gm27241,-0.595
Gm27232,0.0
Nedd4,-0.327
Gm27204,0.0
Prtg,0.86
Pygo1,0.028
Dnaaf4,0.02
Ccpg1os,0.036
Ccpg1,-0.241
Pigb,0.261
2310009A05Rik,0.048
Rab27a,1.133
Khdc3,0.683
Rsl24d1,-0.044
Gm27211,0.0
Unc13c,-0.585
Wdr72,0.28
Gm28622,0.0
Gm16551,0.0
Gm28182,0.0
Onecut1,0.0
Fam214a,-0.032
Arpp19,-0.189
Myo5a,1.551
Myo5c,-0.324
Gnb5,1.022
Gm19531,1.11
Gm48677,-0.141
Bcl2l10,-0.267
Mapk6,0.068
4933433G15Rik,-0.985
Leo1,0.0
Tmod3,-0.328
Tmod2,0.179
Lysmd2,-0.883
Scg3,0.656
Bmp5,-3.38
Gm26903,-0.403
Hmgcll1,1.696
Gfral,0.123
Hcrtr2,0.296
Gm27234,0.0
Fam83b,-0.194
Gm34158,0.0
Gm47800,0.0
Tinag,0.0
Gm19541,0.0
Mlip,-5.019
5730403I07Rik,0.0
Lrrc1,-1.031
Gm19569,0.446
Klhl31,-0.288
Gm47790,0.042
Gm47789,0.0
Gm47795,0.0
Gclc,0.207
Gm34654,0.0
Gm47818,-0.093
Elovl5,-0.239
Gm34829,-0.858
Gm39375,0.0
Gcm1,0.0
Fbxo9,1.217
Ick,-0.174
Gsta4,-4.014
Gsta1,-1.598
Gm3776,-1.357
Gm10639,-0.349
Omt2a,0.0
Omt2b,0.0
Gsta2,-0.598
Dppa5a,1.203
Ooep,1.535
4930542C12Rik,-0.033
Ddx43,-0.973
Cgas,-3.186
Gm17324,0.126
Mto1,0.109
Eef1a1,-0.064
Gm47430,0.0
Slc17a5,-0.162
Cd109,-0.019
4921509A06Rik,0.816
Gm35024,0.0
Gm47499,0.0
Gm47501,0.0
Gm28620,0.0
Gm39377,0.0
Gm10635,-0.225
Col12a1,-4.009
4930562D21Rik,-0.43
Cox7a2,0.798
Tmem30a,0.378
4930429F24Rik,-0.032
Filip1,0.509
Gm3211,0.0
Senp6,-0.062
Gm17477,-0.971
Myo6,-1.972
Gm27227,0.0
Impg1,0.0
Gm48387,0.0
Gm39380,0.0
Gm27224,-0.035
Gm26713,0.0
Gm27226,0.0
Htr1b,-0.241
D430036J16Rik,-0.559
Gm26907,0.0
Mei4,0.918
Gm35548,0.0
1700063H06Rik,0.0
Irak1bp1,0.238
Phip,-0.517
Gm39383,0.0
Gm38398,-1.536
Hmgn3,-0.685
Gm29054,0.395
Gm27216,0.0
Gm46123,0.937
Lca5,-0.774
Gm2087,0.0
Sh3bgrl2,1.383
Gm39384,0.0
Gm36120,0.053
Gm2109,0.211
Elovl4,1.75
Ttk,-1.897
Gm36278,-0.351
Bckdhb,-0.949
Gm46124,0.0
Gm39388,0.0
4930554C24Rik,0.0
Gm48820,0.0
Gm28625,0.0
Gm48821,0.0
Gm48830,0.0
Gm48831,0.0
Gm11114,0.0
Tent5a,-2.842
Gm48832,0.0
Gm48833,0.0
Gm48834,0.0
Gm48842,0.0
Ibtk,-0.089
9330154J02Rik,-0.417
Tpbg,-2.434
Gm47604,0.0
Ube2cbp,0.927
Dop1a,0.709
Pgm3,-0.394
Rwdd2a,1.32
Me1,0.109
A330041J22Rik,0.427
Prss35,-4.136
Snap91,1.972
Gm36539,0.075
Ripply2,1.913
Cyb5r4,0.442
Mrap2,1.111
Cep162,-0.936
Tbx18,-4.969
Gm28231,0.0
Nt5e,-3.179
Snx14,0.254
Gm28229,-0.249
Syncrip,-0.59
Snhg5,-0.3
Zfp949,0.289
Trim43a,0.288
9430037G07Rik,0.724
Mthfsl,-0.133
Gm10634,-0.08
Bcl2a1d,-4.119
Gm29562,0.62
Trim43c,0.0
9330159M07Rik,0.516
Gm26611,0.0
Gm2396,-0.396
Bcl2a1a,-4.849
Trim43b,-0.254
4930579C12Rik,-0.031
Bcl2a1b,-5.785
Mthfs,-0.88
Gm47403,0.0
Minar1,-0.363
Gm47409,0.184
Tmed3,-0.922
Ankrd34c,0.0
1700017I07Rik,0.0
4930524O08Rik,0.0
Rasgrf1,0.506
Ctsh,-5.387
Morf4l1,0.162
Adamts7,-3.678
Tbc1d2b,-1.974
Gm30849,0.0
Gm28703,0.0
Gm29408,0.0
Gm28652,0.0
Zic1,0.0
Zic4,0.0
Gm29478,0.0
Gm31409,0.0
Plscr5,0.0
Plscr1,-0.071
Plscr2,-3.409
Gm29139,0.0
1700057G04Rik,-0.027
Plscr4,-0.109
Plod2,-0.182
4933400C23Rik,0.0
Gm28054,0.0
1700034K08Rik,0.0
Dipk2a,-2.239
Gm29395,0.0
Slc9a9,0.786
Gm16262,0.0
Chst2,0.276
U2surp,-0.19
Gm28424,0.276
Gm32281,0.0
Paqr9,1.958
Gm16126,0.0
Gm16127,0.0
Pcolce2,-0.927
Trpc1,0.408
Pls1,-0.262
1700065D16Rik,0.123
Atr,-0.462
Gm16794,0.064
Xrn1,-0.328
C78334,0.0
Gm28085,0.0
Gk5,-0.702
Tfdp2,-0.658
Atp1b3,0.074
BC043934,0.035
Rnf7,0.169
Gm28729,0.0
Rasa2,-0.553
Zbtb38,0.176
A930006L05Rik,0.055
C430002N11Rik,0.371
Pxylp1,0.317
Spsb4,1.372
Gm16010,0.051
Gm19325,-0.526
Slc25a36,-0.172
Gm16185,-0.223
Trim42,0.0
Gm15891,0.0
Clstn2,1.06
4921534H16Rik,0.0
2610303G11Rik,0.0
Nmnat3,-1.819
Rbp1,-4.162
Rbp2,-0.435
4930579K19Rik,-0.532
Copb2,-0.319
Mrps22,0.245
Gm37637,-0.154
E330023G01Rik,0.0
Prr23a1,0.0
Prr23a2,0.0
Prr23a3,0.0
7420426K07Rik,0.0
Foxl2os,0.0
Foxl2,0.0
Faim,0.091
Gm1123,-0.043
Pik3cb,0.861
Faiml,0.0
Cep70,0.474
4930422M22Rik,0.0
Esyt3,1.132
Gm28087,0.027
Mras,0.955
Nme9,0.168
Armc8,0.468
Dbr1,-0.588
A4gnt,0.031
Dzip1l,-1.397
Cldn18,0.0
Gm16004,0.0
Gm47757,0.0
Sox14,0.0
4930519F24Rik,0.0
Gm28167,0.0
Gm34397,0.0
Gm28166,0.064
Il20rb,-2.167
Nck1,-0.647
Gm28586,-0.392
Slc35g2,1.265
Stag1,-0.824
Pccb,-0.039
Msl2,-0.587
Ppp2r3a,-0.915
Gm28979,0.0
Gm29521,-2.688
9630041A04Rik,0.327
Ephb1,-1.039
Gm29388,0.0
Ky,1.419
Gm29387,0.0
Cep63,-0.408
Anapc13,-0.256
4930533D04Rik,0.0
Amotl2,-2.601
Gm5627,0.0
Gm47416,0.0
Ryk,-0.776
Slco2a1,-2.743
Gm47468,0.0
Rab6b,1.884
Srprb,-0.314
Trf,-1.572
1300017J02Rik,-0.432
Topbp1,-1.101
Cdv3,0.478
Gm47328,0.062
5830418P13Rik,0.328
Bfsp2,-0.785
Gm16252,0.0
Tmem108,1.612
Gm32743,0.0
4932413F04Rik,0.106
Gm29154,0.511
Gm33054,0.196
Nphp3,-1.747
Uba5,-0.235
Acad11,-0.064
Ackr4,-1.527
Dnajc13,0.069
Acpp,0.219
Gm28548,0.0
Cpne4,1.503
Mrpl3,-0.129
Gm47106,0.0
Nudt16,0.117
Nudt16l2,0.0
Nek11,-0.899
Gm20643,0.0
Gm15619,0.0
Aste1,-0.861
Atp2c1,0.5
Gm19667,-0.127
Pik3r4,-0.152
Col6a6,-1.444
Col6a5,-2.396
Col6a4,1.172
Gm47575,0.0
Gm29208,0.0
D030055H07Rik,0.14
Glyctk,0.322
Wdr82,0.097
Ppm1m,-2.095
Twf2,-0.806
Tlr9,-0.146
Alas1,-0.116
4930500F10Rik,0.799
Poc1a,-1.581
Gm29123,0.0
Dusp7,-0.946
Rpl29,-0.106
Acy1,-1.433
Abhd14a,-0.19
Abhd14b,0.043
Gm28959,0.234
Pcbp4,0.017
Gpr62,0.107
Parp3,-3.217
Rrp9,-0.151
Iqcf1,0.0
Iqcf3,0.0
Iqcf5,0.0
Iqcf4,0.0
Iqcf6,0.0
Gm28111,0.0
Grm2,0.045
Tex264,0.145
Rad54l2,0.116
Dcaf1,-0.143
Manf,-0.363
Gm37612,0.017
Rbm15b,0.284
4930524O07Rik,-0.503
Dock3,1.863
1700039M15Rik,0.0
Mapkapk3,-2.327
Cish,-0.457
Gm17041,0.0
Hemk1,0.396
6430571L13Rik,1.16
4930429P21Rik,0.0
Cacna2d2,1.957
Gm17141,0.0
Gm17118,0.0
Tmem115,-0.548
Cyb561d2,0.352
Nprl2,0.514
Zmynd10,-1.07
Gm34106,-0.029
Rassf1,-1.588
Gm9917,-2.132
Tusc2,0.83
Hyal2,-0.775
Gm16343,0.0
Hyal1,-0.753
Naa80,0.238
Hyal3,-0.118
Ifrd2,-1.035
Lsmem2,-1.536
Gm38150,0.541
Sema3b,-3.63
Gnai2,-1.139
Slc38a3,-1.95
Gnat1,-0.37
Sema3f,-2.667
Rbm5,-0.243
Gm37850,-0.382
Rbm6,-0.167
Mon1a,0.766
Mst1r,0.364
Actl11,0.0
Gm37974,0.0
Camkv,1.069
Traip,-1.025
Uba7,-4.41
Inka1,-4.13
4921523L03Rik,-0.344
Cdhr4,-2.96
4930535L15Rik,0.0
Ip6k1,0.259
Gm38134,-0.184
Gmppb,-0.541
Rnf123,0.451
Gm20529,0.0
Amigo3,-1.233
Mst1,-0.061
Apeh,0.364
Bsn,1.871
4930447F24Rik,-0.577
Dag1,-2.238
Nicn1,1.391
Amt,-0.014
Tcta,0.771
Rhoa,-1.17
Gm37401,-0.696
Gpx1,-0.065
Usp4,-0.057
Gm37963,-0.311
1700102P08Rik,0.134
Ccdc36,-0.465
BC048562,0.0
Klhdc8b,0.588
Ccdc71,0.038
Lamb2,-3.577
Usp19,-0.136
Qars,0.048
Qrich1,-0.123
Impdh2,-0.722
Ndufaf3,0.622
4833445I07Rik,0.475
Dalrd3,-0.047
Wdr6,1.262
P4htm,0.802
Gm38163,-0.122
Arih2,-0.255
Slc25a20,-0.158
Prkar2a,1.006
Ip6k2,0.178
Nckipsd,0.46
Gm35025,1.171
Celsr3,1.752
Slc26a6,-0.116
Tmem89,0.036
Uqcrc1,0.375
Col7a1,-0.441
Ucn2,0.027
Gm38004,-0.681
Pfkfb4,-0.071
Shisa5,-0.103
Trex1,0.0
Atrip,-0.051
Tma7,0.751
Ccdc51,0.351
Gm7628,-0.958
Plxnb1,-0.414
Fbxw21,0.0
Fbxw13,0.0
Fbxw20,0.0
Fbxw14,0.0
Fbxw28,0.0
Fbxw22,0.0
Fbxw16,0.0
Gm42493,0.0
Fbxw19,0.0
Gm42756,0.0
Fbxw15,0.0
Fbxw24,0.068
Fbxw25,0.0
Fbxw18,0.0
Fbxw26,0.0
Fbxw27,0.056
Spink8,1.334
Nme6,0.783
Camp,1.152
Cdc25a,0.454
Map4,0.696
Gm43732,0.0
Dhx30,0.136
Smarcc1,0.191
Cspg5,0.142
Gm42775,0.0
Elp6,0.399
Scap,0.099
Ptpn23,0.088
Ngp,-0.111
Klhl18,0.223
Kif9,0.321
Setd2,-0.293
Nradd,0.416
Nbeal2,-0.75
Gm42470,0.0
Ccdc12,-0.723
Gm35715,0.0
Pth1r,0.099
Myl3,0.476
Prss42,0.0
Prss44,0.0
Prss43,0.0
Prss45,0.763
Prss46,0.0
Prss50,0.086
Tmie,1.417
Als2cl,-2.351
Fam240a,0.0
Tdgf1,0.0
Lrrc2,1.471
Rtp3,-0.971
1700061E17Rik,0.0
Gm10030,0.0
Ltf,-1.123
Ccrl2,-4.493
Lrrfip2,0.259
Mlh1,-0.481
Epm2aip1,0.798
Trank1,1.411
Dclk3,0.745
Gm42523,0.844
Gm43236,0.0
Stac,1.648
4930545L08Rik,1.135
Arpp21,1.413
2310075C17Rik,0.109
2900079G21Rik,1.904
4933411E02Rik,0.0
Gm36251,0.0
Gm4657,0.0
Gm36367,0.0
Gm39436,0.0
Gm36485,0.0
Gm47875,0.0
AU023762,-0.155
Gm36745,0.093
Pdcd6ip,-0.254
Clasp2,0.534
Ubp1,-0.387
Fbxl2,1.578
Gm47950,0.599
Susd5,1.394
Gm29825,-2.768
4921528I07Rik,-2.021
Bcl2a1c,-0.04
4930520O04Rik,-2.269
Crtap,-2.427
Glb1,-0.322
Tmppe,0.029
Ccr4,-0.235
Trim71,0.757
C130032M10Rik,-0.03
Cnot10,-0.312
Dync1li1,1.14
Cmtm6,-1.041
Cmtm7,-4.231
Gm9888,-1.169
Cmtm8,-3.539
Gpd1l,0.642
Osbpl10,1.739
Rps27rt,-0.768
Gm4665,0.0
Gm26962,0.0
Gm27002,0.091
Stt3b,-0.804
D330037F02Rik,-0.283
Gm48007,0.0
Gadl1,0.974
Gm16142,0.0
Tgfbr2,-4.805
Gm4668,-0.683
Gm48038,0.0
Gm31410,-1.393
D730003K21Rik,-0.106
Rbms3,1.115
Gm17396,0.65
Gm26614,1.782
Zcwpw2,1.489
Azi2,0.398
Cmc1,0.018
Gm17399,1.849
Platr11,0.0
4933432G23Rik,0.0
Eomes,-0.105
Gm33460,0.0
Golga4,-0.4
Gm45897,0.0
Itga9,-3.685
Gm2415,0.287
Gm16295,0.0
Ctdspl,-0.271
Vill,-2.022
Plcd1,-0.322
Dlec1,0.76
Acaa1b,-0.421
Gm47289,0.0
Slc22a14,-0.176
Slc22a13,0.461
Oxsr1,0.039
Myd88,-2.537
Acaa1a,-0.724
Xylb,0.452
Acvr2b,-0.077
Gm47320,-0.496
4930516B21Rik,0.0
Exog,0.796
Scn5a,0.809
Scn10a,0.549
Scn11a,1.333
Gm2449,0.256
Wdr48,0.167
Cx3cr1,-3.847
Gorasp1,-0.273
Ttc21a,-0.801
Csrnp1,-2.832
1700019L13Rik,-2.53
Gm47043,-0.064
Gm49427,0.308
Xirp1,-0.534
Gm33858,-0.652
Ccr8,0.0
Slc25a38,0.759
Rpsa,0.02
Gm5922,0.0
Mobp,0.0
Gm38642,0.285
Gm47059,0.0
Myrip,1.701
D830035M03Rik,0.094
Eif1b,0.407
Entpd3,1.615
Rpl14,0.087
5830454E08Rik,0.483
Gm39456,0.0
Gm39458,-0.644
Gm47064,0.0
Gm47066,0.0
Gm39459,0.088
Gm47068,0.0
Gm47069,0.0
Gm19385,0.0
Gm34425,-0.092
Gm47070,0.0
Gm39460,0.0
1700020M21Rik,0.0
4930593C16Rik,0.0
Ctnnb1,-0.847
Ulk4,-0.61
Gm34655,0.022
Trak1,0.331
Cck,-0.722
Gm47095,0.0
Gm38661,0.0
Lyzl4,-0.67
Lyzl4os,0.0
Vipr1,-1.129
Sec22c,0.439
Ss18l2,0.499
Nktr,-0.466
E530011L22Rik,-0.534
Zfp651,-1.041
Klhl40,-0.522
Hhatl,-0.988
Ccdc13,-3.997
Gm17163,-0.359
Higd1a,0.54
Gm47112,-0.099
Gm47113,0.44
Ackr2,-0.448
Cyp8b1,-0.149
1700048O20Rik,0.579
Gask1a,-4.094
Pomgnt2,1.047
Gm39463,0.087
Gm47117,0.121
Gm39465,0.2
Gm39464,1.221
Snrk,0.796
Gm47121,-0.022
Ano10,0.423
Gm26797,-0.031
Gm47126,0.0
Abhd5,0.059
A730085K08Rik,0.07
Gm47128,-0.105
Gm35454,0.0
Gm47131,0.026
Gm47133,1.072
9530059O14Rik,1.691
Gm47134,0.016
Gm35501,1.212
Gm47136,-1.497
Topaz1,0.063
Tcaim,-0.086
Gm35549,0.0
Zfp445,-0.096
Gm47140,0.829
A530083I20Rik,1.482
Zkscan7,-0.262
Zfp105,-0.139
1110059G10Rik,-0.278
Kif15,-3.106
Gm9856,-0.547
Tmem42,0.474
Tgm4,0.92
Zdhhc3,-0.002
Exosc7,0.041
Clec3b,-4.626
Cdcp1,-0.278
Tmem158,-0.448
Gm47162,-0.352
Lars2,-1.007
Limd1,-2.73
Sacm1l,0.549
Slc6a20b,-0.689
Slc6a20a,-1.204
Gm17120,0.017
Gm17200,-0.029
Ccr9,-1.327
Lztfl1,-0.299
Gm17021,-0.757
Fyco1,-0.206
Cxcr6,-3.431
Xcr1,-1.107
Ccr1,-4.099
Ccr1l1,0.0
Ccr3,-0.416
Ccr2,-4.349
Ccr5,-2.592
Gm39469,0.23
2010315B03Rik,-0.658
Gm47181,0.0
Ppp2r3d,-0.139
Gm21836,0.0
9230019H11Rik,0.0
B020014A21Rik,0.0
H60c,0.0
Ppp1r14c,-2.789
Iyd,-1.284
Plekhg1,-3.003
Mthfd1l,0.469
Gm30570,0.046
Akap12,-0.141
Zbtb2,-1.174
Gm21781,-0.059
Rmnd1,-0.022
Gm16153,-0.179
Armt1,-1.347
Ccdc170,0.745
Esr1,0.535
Syne1,0.373
Gm10097,-0.165
Myct1,-3.928
Vip,1.736
Fbxo5,-1.627
Mtrf1l,-0.068
Rgs17,2.458
Gm10945,0.0
Oprm1,1.207
Ipcef1,-0.146
Cnksr3,-2.263
Ulbp1,-2.566
Lrp11,2.04
Pcmt1,0.906
Nup43,-0.111
Lats1,-0.218
Katna1,-1.027
Gm20470,0.0
Ginm1,-0.611
B430219N15Rik,-0.336
Ppil4,-0.569
Zc3h12d,-0.528
Tab2,-0.673
Gm48614,-0.552
Gm30906,0.081
Ust,-0.592
Gm48654,0.0
Sash1,-3.787
Gm26674,-1.418
Gm48727,-0.063
Gm48728,0.0
Gm48748,0.0
Gm48749,0.0
Gm48757,0.0
Gm48759,0.0
Samd5,-1.813
Stxbp5,0.857
Gm46210,0.373
Gm28905,0.303
Gm48278,0.0
Gm48281,0.062
Gm48279,0.269
4930598N05Rik,0.0
Gm31904,0.0
Gm48324,0.0
Adgb,-1.361
Rab32,-4.727
Gm10944,0.0
Grm1,0.124
4930567K20Rik,0.0
Shprh,-0.117
Gm16577,0.153
4930432B10Rik,-0.236
Fbxo30,-0.675
Epm2a,0.698
Gm48680,0.0
Gm48697,-0.34
Gm48721,0.0
Gm48722,0.0
Gm48723,0.0
Gm48724,0.0
Utrn,-1.459
B230208H11Rik,-3.03
Stx11,-2.821
Sf3b5,-0.327
Gm47691,0.0
Plagl1,-1.981
Zc2hc1b,0.0
Ltv1,-0.069
Phactr2,0.014
Fuca2,0.878
Pex3,-0.256
Adat2,0.292
Gm48773,0.0
Aig1,0.508
Gm32172,0.0
Gm32105,0.018
Hivep2,-0.868
Gm28289,0.0
Gm48843,0.0
Gm48845,0.0
Gm48844,0.0
Gm40603,0.082
Gm48854,0.0
Adgrg6,-2.989
Gm46212,-1.865
Vta1,0.286
Gm16234,0.0
Nmbr,0.103
Gje1,0.0
B230364G03Rik,0.0
Gm47698,0.0
Gm47710,-0.462
Gm47712,0.0
Gm40604,-0.022
Gm32283,0.0
C330004P14Rik,0.0
Gm47729,0.0
Gm20125,0.446
Gm47760,0.588
Gm47761,-0.553
Gm47769,0.124
Gm47770,0.0
Gm47771,0.0
Cited2,0.443
Gm20655,0.308
Txlnb,0.184
Heca,-0.172
Abracl,-0.792
Reps1,0.376
Ect2l,0.268
Ccdc28a,0.26
Gm10827,-0.011
Nhsl1,-1.078
Hebp2,1.565
Arfgef3,2.15
Gm32926,1.941
Gm4922,0.0
4930444F02Rik,0.0
Perp,-0.305
Gm48483,0.0
Tnfaip3,-3.334
1700124M09Rik,0.0
Gm48545,0.0
Gm20139,-0.513
Gm33056,-0.052
Olig3,0.0
Gm33104,-1.63
Ifngr1,-2.477
Il22ra2,-0.049
9230106D20Rik,0.0
Il20ra,0.014
Gm33332,0.0
Slc35d3,0.343
Pex7,-0.095
Map3k5,-1.12
Map7,0.95
4930405J17Rik,0.097
Gm48249,0.521
4933406P04Rik,-0.367
Bclaf1,-0.272
Mtfr2,-1.443
Pde7b,-4.335
Gm48651,0.0
Ahi1,1.467
Gm20149,0.0
Gm48189,0.0
Myb,-1.24
Gm26577,0.941
Gm40608,0.0
Gm33619,0.044
Gm33728,0.0
Hbs1l,0.324
4930455C13Rik,0.0
Aldh8a1,0.167
1700021A07Rik,0.0
1700020N01Rik,0.0
Gm5420,0.0
Gm29323,0.0
Platr6,0.0
Sgk1,-0.715
4930444G20Rik,0.0
E030030I06Rik,-3.387
Raet1e,-1.092
H60b,-0.037
Gm26740,-4.078
Gm26581,0.0
Raet1d,-1.601
Gm10825,-0.1
Slc2a12,0.497
Tbpl1,0.935
AC166256.1,0.0
Gm47634,0.0
Gm10824,-0.009
Tcf21,-0.946
Eya4,1.498
Gm47843,0.132
4930520K02Rik,0.0
Rps12,-0.448
Slc18b1,0.167
Vnn3,-1.048
Vnn1,-0.65
Taar1,0.0
Taar2,0.0
Taar3,0.0
Taar4,0.0
Taar5,0.0
Taar6,0.0
Taar7a,0.0
Taar7b,0.0
Taar7d,0.0
Taar7e,0.0
Taar7f,0.0
Taar8a,0.0
Taar8b,0.0
Taar8c,0.0
Taar9,0.0
Gm40614,-2.103
Stx7,0.43
Moxd1,-1.69
Gm15271,0.0
Gm15270,-1.354
Ccn2,-2.679
Enpp1,-2.144
Enpp3,-3.358
Med23,-0.058
Arg1,0.208
Gm36172,0.018
Gm47715,0.423
Akap7,0.944
Gm40617,-0.922
Epb41l2,-3.03
Smlr1,0.92
Gm29571,0.0
Gm36908,0.0
Gm36543,0.0
4930401C15Rik,0.0
Gm47939,0.0
Tmem200a,1.272
Gm9767,1.712
Samd3,-0.118
L3mbtl3,-1.415
Gm30034,0.0
Gm48893,0.372
Arhgap18,-4.252
Gm48084,-0.299
Lama2,-5.126
4930579H20Rik,-0.328
Gm30165,0.0
Gm30228,0.0
Ptprk,-1.772
Themis,-1.17
2310057J18Rik,0.0
Soga3,1.632
9330159F19Rik,1.282
Gm46218,-1.558
Echdc1,0.296
Rnf146,-0.081
Gm40621,-0.155
Rspo3,-0.098
Gm48159,0.0
Gm48215,0.164
Cenpw,-0.416
Trmt11,-0.305
Gm20300,0.66
Hint3,-0.025
Ncoa7,1.45
Hey2,-3.536
Gm30676,0.0
Hddc2,0.405
Tpd52l1,1.21
Gm48094,0.0
Gm48093,0.0
Rnf217,0.574
Nkain2,-2.37
Gm47823,0.0
Trdn,-0.0
D830005E20Rik,0.0
Clvs2,1.944
Gm15939,0.163
Sult3a2,0.0
Sult3a1,0.0
Rsph4a,0.611
Zup1,-0.707
A830082N09Rik,1.813
Rwdd1,0.247
Gm48045,1.019
Trappc3l,0.339
Calhm4,0.0
Calhm5,-0.729
Calhm6,-1.152
Dse,-1.235
Gm26564,0.717
Tspyl1,0.981
Nt5dc1,-1.795
Gm47512,0.63
Tspyl4,1.976
Col10a1,-1.609
Frk,-3.167
1700054O05Rik,0.0
Amd2,-0.418
Gm49446,0.0
Gm47049,0.0
Hs3st5,1.904
Hdac2,0.275
Marcks,-2.177
5930403N24Rik,-1.724
4930543K20Rik,0.0
Gm26535,-0.273
Gm31378,-1.731
4930591E09Rik,0.0
Gm48197,0.0
Rfpl4b,0.0
Lama4,-3.423
Fam229b,0.257
Tube1,-1.029
Ccn6,-0.415
D030034A15Rik,-0.43
Gm31562,0.0
Gm48486,0.0
Fyn,-0.214
Gm16364,-1.759
Traf3ip2,-0.495
E130307A14Rik,-0.391
Rev3l,0.032
Mfsd4b4,-0.694
4930547M16Rik,0.427
Mfsd4b5,-0.282
Mfsd4b1,-0.153
Slc16a10,-0.5
Gm31992,0.0
Gm47598,0.013
Rpf2,0.617
Gtf3c6,0.09
A930033M14Rik,0.168
Amd1,-0.552
Cdk19,-2.246
Cdk19os,-0.354
Slc22a16,0.0
Ddo,0.289
Mettl24,-2.272
Cdc40,-0.745
Wasf1,1.224
Gm48057,0.0
Gpr6,1.139
Gm32284,0.0
Gm32338,0.0
Fig4,0.158
Ak9,-0.4
Zbtb24,-0.614
Mical1,-0.906
Smpd2,-1.508
Ppil6,-0.171
Cd164,-1.147
Ccdc162,-0.104
Gm17196,-0.102
5730435O14Rik,-0.425
Cep57l1,-0.585
BC048559,0.122
Sesn1,-1.046
Armc2,1.156
1700016J18Rik,0.716
Foxo3,0.392
Afg1l,0.322
Snx3,-0.341
Nr2e1,0.0
Ostm1,0.219
Gm15200,0.0
Gm15199,0.0
Sec63,-0.508
Scml4,1.394
Gm34006,0.407
Gm48671,0.221
Sobp,1.273
Gm47815,0.0
Gm29246,0.074
9030612E09Rik,0.527
Pdss2,0.428
Bend3,-0.383
Gm47889,0.0
Gm9803,0.491
1700021F05Rik,0.098
Cd24a,1.673
F930017D23Rik,0.028
Gm34481,0.0
Gm47927,0.0
Gm47926,0.588
Gm40634,0.348
1700027J07Rik,-0.206
4933404K13Rik,-0.114
Qrsl1,0.366
Rtn4ip1,0.957
Crybg1,-3.083
Atg5,0.118
Gm35028,0.045
Prdm1,-3.604
Gm48061,0.0
Gm48065,-0.344
Gm35154,-1.702
Gm48066,-0.573
Gm47389,-0.105
4930431F10Rik,0.0
Gm47392,0.0
Gm47398,-0.155
Gm40638,0.0
Gm40639,0.0
Prep,0.341
Popdc3,0.843
Gm15934,0.16
Bves,-0.866
Lin28b,1.806
Hace1,0.243
D030045P18Rik,0.517
Gm35430,0.0
Gm35552,0.0
Gm47568,0.0
Gm47354,0.0
Grik2,-1.147
Gm26543,-0.073
Gm47018,-0.386
Gm48275,0.0
Ascc3,-0.322
Sim1,0.0
Gm46189,0.0
Lilr4b,-3.949
Gm40645,-0.142
Lilrb4a,-4.487
Gm46224,-2.574
Fam162b,-1.251
Gprc6a,0.0
1700042O05Rik,0.0
Rfx6,0.0
4933411G06Rik,0.0
Gm47613,0.0
Gm47614,0.0
Gm40646,0.0
Vgll2,0.0
Ros1,0.0
Dcbld1,-1.388
Gopc,0.585
Gm26741,0.0
Nepn,0.053
Nus1,0.366
Gm36065,0.0
Slc35f1,-3.796
Gm47622,-0.761
Gm40649,-0.049
Gm36173,0.0
Cep85l,-1.972
Gm19395,0.0
Pln,-3.051
Gm47644,-1.692
Gm36229,-0.014
Gm40650,-0.601
Gm20597,-2.981
Mcm9,-0.993
Gm47738,0.0
Gm47739,-0.086
Asf1a,-0.768
Fam184a,0.257
Gm47915,0.0
Man1a,0.255
Gm47917,0.0
Gm16998,0.0
Tbc1d32,-0.061
Msl3l2,0.283
Gja1,-4.9
Gm36595,-0.281
